               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092539,            0.038146,            0.018757,             0.74042,             0.30275,             0.25152,             0.08064,            0.068182,            0.015853,           0.0054906,             0.00274,             0.00274,             0.07534
                   1,            0.069593,            0.034198,           0.0048933,              0.3905,             0.44001,             0.32753,             0.12162,            0.057187,            0.012715,           0.0031436,           0.0054851,           0.0054851,            0.050585
                   2,             0.06141,            0.027994,           0.0032057,             0.55259,             0.57612,             0.49019,             0.18713,            0.057182,            0.011439,           0.0040273,           0.0082108,           0.0082108,            0.025811
                   3,            0.057717,            0.029622,           0.0029606,             0.60694,             0.58422,             0.53832,             0.17597,            0.052619,            0.012628,            0.003532,           0.0099203,           0.0099203,           0.0099203
                   4,            0.051102,            0.027397,           0.0022782,             0.81282,              0.5514,             0.62139,             0.28386,            0.052659,            0.012246,           0.0032001,           0.0099203,           0.0099203,           0.0099203
                   5,            0.048849,            0.026254,            0.001972,             0.77329,             0.73366,             0.75001,             0.34323,            0.042727,           0.0094857,           0.0010866,           0.0098586,           0.0098586,           0.0098586
                   6,            0.045261,            0.027097,           0.0014294,             0.82513,             0.86663,             0.86408,             0.46297,            0.033367,           0.0084542,           0.0008842,           0.0097798,           0.0097798,           0.0097798
                   7,            0.044291,            0.027979,           0.0014892,             0.92662,             0.90301,               0.938,             0.55247,            0.032399,           0.0084314,          0.00080864,            0.009684,            0.009684,            0.009684
                   8,            0.042443,            0.025381,           0.0012027,             0.91749,             0.87919,             0.93967,             0.55871,            0.031203,           0.0080499,          0.00075285,           0.0095717,           0.0095717,           0.0095717
                   9,            0.041009,            0.024972,           0.0011786,             0.95228,             0.88403,             0.94398,             0.56268,            0.030302,           0.0081124,          0.00057198,           0.0094434,           0.0094434,           0.0094434
                  10,            0.040603,            0.026543,          0.00099133,             0.86851,             0.87646,             0.89346,             0.54217,            0.032733,           0.0088334,           0.0011137,           0.0092995,           0.0092995,           0.0092995
                  11,            0.038981,            0.026573,           0.0010877,             0.93959,             0.86833,             0.90589,             0.54135,            0.031635,           0.0082055,           0.0013663,           0.0091406,           0.0091406,           0.0091406
                  12,            0.037025,            0.021752,          0.00090431,             0.89283,             0.89069,              0.9303,             0.56437,            0.029789,           0.0074667,          0.00063151,           0.0089673,           0.0089673,           0.0089673
                  13,            0.037675,            0.024995,          0.00090694,             0.92563,             0.91931,              0.9501,             0.61526,            0.027846,              0.0076,          0.00060062,           0.0087804,           0.0087804,           0.0087804
                  14,            0.035942,            0.023506,          0.00081441,             0.95471,             0.93173,             0.96392,             0.62816,            0.027307,           0.0071045,          0.00056696,           0.0085805,           0.0085805,           0.0085805
                  15,            0.035661,            0.023299,          0.00083222,             0.95127,             0.94385,             0.96702,             0.65917,             0.02612,           0.0068703,          0.00043994,           0.0083684,           0.0083684,           0.0083684
                  16,            0.034383,            0.021423,          0.00079384,             0.95199,             0.92555,             0.96303,             0.61513,            0.027587,           0.0070362,          0.00041096,            0.008145,            0.008145,            0.008145
                  17,            0.034849,            0.022651,           0.0007374,             0.96023,             0.93054,             0.97509,             0.64447,            0.025875,           0.0069677,          0.00046166,           0.0079112,           0.0079112,           0.0079112
                  18,            0.033944,            0.022918,          0.00075967,             0.95054,             0.95749,             0.97737,             0.66361,            0.025856,           0.0065873,          0.00045194,           0.0076679,           0.0076679,           0.0076679
                  19,            0.033028,            0.021516,          0.00067822,             0.95502,              0.9392,             0.97024,             0.66734,            0.024362,           0.0067636,          0.00034927,            0.007416,            0.007416,            0.007416
                  20,            0.032707,            0.021717,          0.00061984,             0.95395,             0.94499,             0.97274,             0.66314,            0.024853,           0.0067661,          0.00037407,           0.0071566,           0.0071566,           0.0071566
                  21,             0.03199,            0.021995,          0.00061889,             0.94646,             0.94154,             0.96527,             0.64471,            0.025041,           0.0068143,          0.00032186,           0.0068906,           0.0068906,           0.0068906
                  22,            0.031643,            0.021358,          0.00078395,             0.95796,             0.93584,             0.96854,             0.64279,            0.025153,           0.0066948,          0.00033309,           0.0066191,           0.0066191,           0.0066191
                  23,            0.031593,            0.021501,          0.00065135,              0.9566,             0.95989,             0.97486,             0.68219,            0.023398,           0.0064114,          0.00030818,           0.0063432,           0.0063432,           0.0063432
                  24,            0.029985,            0.021495,          0.00050237,             0.95943,             0.95693,             0.97619,             0.68676,             0.02341,           0.0064092,          0.00026344,            0.006064,            0.006064,            0.006064
                  25,             0.02989,            0.021404,          0.00058699,             0.95556,             0.95932,             0.97466,             0.70981,            0.022638,           0.0063988,           0.0002804,           0.0057826,           0.0057826,           0.0057826
                  26,            0.029356,            0.020435,          0.00061963,             0.94553,             0.96513,              0.9758,             0.70477,            0.023329,            0.006366,          0.00026551,              0.0055,              0.0055,              0.0055
                  27,             0.02925,            0.019377,          0.00058912,             0.97273,             0.95532,             0.97963,             0.70531,            0.022448,           0.0060988,          0.00024023,           0.0052174,           0.0052174,           0.0052174
                  28,            0.028499,            0.020497,          0.00043638,             0.97472,             0.96102,              0.9803,             0.70005,            0.021933,           0.0061307,          0.00023625,            0.004936,            0.004936,            0.004936
                  29,            0.027974,            0.019056,          0.00044393,             0.96644,             0.96504,             0.98177,             0.72905,             0.02139,           0.0059553,           0.0002213,           0.0046568,           0.0046568,           0.0046568
                  30,            0.028097,            0.020177,          0.00042234,             0.95694,              0.9696,             0.98139,              0.7297,            0.021486,           0.0059014,          0.00023263,           0.0043809,           0.0043809,           0.0043809
                  31,            0.026983,            0.018278,          0.00041737,             0.96811,             0.96386,             0.98211,             0.73308,            0.020934,           0.0058298,          0.00019869,           0.0041094,           0.0041094,           0.0041094
                  32,            0.026967,            0.019138,          0.00040841,             0.96836,             0.96732,             0.98457,              0.7338,            0.020868,           0.0058362,          0.00019527,           0.0038434,           0.0038434,           0.0038434
                  33,            0.026099,            0.019193,          0.00043645,             0.96107,              0.9719,             0.98201,             0.72386,            0.020943,           0.0058781,          0.00017041,            0.003584,            0.003584,            0.003584
                  34,            0.026359,            0.018879,          0.00042657,             0.96492,             0.97204,             0.98319,             0.74159,            0.020122,           0.0058415,          0.00018233,           0.0033321,           0.0033321,           0.0033321
                  35,            0.025758,             0.01851,          0.00037679,             0.96631,             0.96897,             0.98319,             0.73806,            0.020133,           0.0057872,          0.00017477,           0.0030888,           0.0030888,           0.0030888
                  36,            0.024583,            0.017744,          0.00034246,             0.97008,             0.96641,             0.98358,             0.75748,            0.019752,           0.0057421,           0.0001683,            0.002855,            0.002855,            0.002855
                  37,            0.024643,             0.01752,          0.00033936,              0.9687,             0.97192,             0.98494,             0.75214,            0.019449,           0.0056999,          0.00019011,           0.0026316,           0.0026316,           0.0026316
                  38,            0.025331,            0.018823,          0.00034581,              0.9699,             0.96957,             0.98522,             0.76062,            0.019482,           0.0056927,           0.0001523,           0.0024195,           0.0024195,           0.0024195
                  39,            0.024207,             0.01764,          0.00033841,             0.96642,              0.9724,             0.98444,             0.74771,            0.019362,           0.0056095,           0.0001615,           0.0022196,           0.0022196,           0.0022196
                  40,            0.024057,            0.017204,          0.00035043,             0.96682,             0.96729,             0.98363,             0.75761,            0.019036,           0.0055228,           0.0001546,           0.0020327,           0.0020327,           0.0020327
                  41,            0.023525,            0.017716,          0.00040226,             0.96646,             0.96848,             0.98396,             0.76552,            0.018867,           0.0055265,          0.00014496,           0.0018594,           0.0018594,           0.0018594
                  42,            0.023839,            0.018809,          0.00032736,             0.97044,             0.96389,             0.98347,             0.76541,            0.018725,           0.0055589,          0.00014914,           0.0017005,           0.0017005,           0.0017005
                  43,            0.023618,            0.019119,          0.00030058,             0.96047,             0.97191,             0.98339,             0.76587,            0.018752,           0.0055089,          0.00014319,           0.0015566,           0.0015566,           0.0015566
                  44,            0.023661,            0.018297,          0.00036316,             0.96668,             0.97364,             0.98539,              0.7779,            0.018665,           0.0054479,          0.00015052,           0.0014283,           0.0014283,           0.0014283
                  45,            0.023108,            0.017669,          0.00029823,             0.96712,             0.97307,             0.98588,             0.77484,            0.018344,           0.0053865,          0.00012943,            0.001316,            0.001316,            0.001316
                  46,            0.022244,             0.01518,          0.00027261,             0.96443,             0.97364,             0.98471,             0.77443,            0.018173,            0.005398,          0.00013892,           0.0012202,           0.0012202,           0.0012202
                  47,             0.02244,            0.016622,          0.00029082,             0.97007,              0.9674,              0.9859,             0.77708,            0.018338,           0.0054285,          0.00013477,           0.0011414,           0.0011414,           0.0011414
                  48,            0.022191,             0.01812,          0.00030923,              0.9653,             0.97536,             0.98651,             0.77901,            0.018142,           0.0053658,          0.00012988,           0.0010797,           0.0010797,           0.0010797
                  49,            0.022227,            0.017093,          0.00028803,             0.96855,             0.97249,             0.98721,             0.77195,            0.018347,           0.0053592,          0.00012233,           0.0010355,           0.0010355,           0.0010355
